recordId,steamAppId
recv83nQgyRS2z,311560
recv83nQgyEWIz,277590
recv83nQgyAwUg,
recv83nQgylW2g,206420
recv83nQgy9AxI,301910
recv83nQgywMCR,758730
recv83nQgyEdll,
recv841yeSRV1m,1378990
recv841yeSw1Hv,939850
recv841yeSbODQ,1515640
recv841yeSsDMG,1079560
recv841yeSjHoM,1593500
recv841yeSnwH7,633230
recv841yeSvuIy,1414850
recv841yeSkIcv,466980
recv83nQgyGQhR,462780
recv83nQgyRCwx,388410
recv83nQgyd1ty,1041720
recv83nQgyZhwP,286690
recv83nQgyKpJ6,287390
recv83nQgydj8s,304240
recv83nQgy1uLm,21130
recv83nQgyuaSw,204120
recv83nQgyyA2M,200260
recv83nQgy77s0,35140
recv83nQgyJpev,49520
recv83nQgyBf33,464920
recv83nQgyEHYw,527100
recv83nQgySRmU,735580
recv83nQgy9kRw,986800
recv83nQgygHQm,1139900
recv83nQgyTQlv,218620
recv83nQgyVpAW,692850
recv83nQgyPhcU,973810
recv83nQgyfitc,374040
recv83nQgyMD5O,208650
recv83nQgyUlUm,
recv83nQgyzDV4,976310
recv83nQgy3ycq,996770
recv83nQgyT30a,774361
recv83nQgyj2ID,728880
recv83nQgypll3,
recv83nQgy3g52,225080
recv83nQgyQejW,824280
recv83nQgy2aQN,2561580
recv83nQgyRxzR,906100
recv83nQgytF0d,228380
recv83nQgyuuZ2,606280
recv83nQgyRt1G,710920
recv83nQgyeOxG,298110
recv83nQgy5w1b,243470
recv83nQgytQRK,646910
recv83nQgyracV,409710
recv83nQgyXTsg,409720
recv83nQgyvVpn,8870
recv83nQgyUf6a,
recv83nQgyaxfY,1817070
recv83nQgyMOef,402130
recv83nQgy5rr6,1082180
recv83nQgyiMeh,1454050
recv83nQgyMqKI,599140
recv83nQgyDFo7,423950
recv83nQgyCmLS,223100
recv83nQgyCqgU,365160
recv83nQgyoW3w,314710
recv83nQgymbwX,941570
recv83nQgyrdXL,1162130
recv83nQgyfFG9,379430
recv83nQgyHw9R,
recv83nQgyh4uk,714370
recv83nQgyQKK9,1341050
